# heliumInput = PHENOTYPE									
germplasm_name	germplasm_id	germplasm_gid	country_name	country_code	has_trials_data	has_genotypic_data	Project	Year	Range
Scandium	169	Scandium	Denmark	DK	1	1	BARN	2004	2000-2009
Scarlett	170	Scarlett	Germany	DE	1	1	BARN	1995	1990-1999
Sebastian	171	Sebastian	Denmark	DK	1	1	BARN	2000	2000-2009
Senat	172	Senat	Sweden	SE	1	1	BARN	1974	1970-1979
Simba	173	Simba	Denmark	DK	1	1	BARN	2003	2000-2009
Simon	174	Simon	Sweden	SE	1	1	BARN	1978	1970-1979
Skittle	175	Skittle	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2003	2000-2009
Spartan	176	Spartan	Czech Republic	CZ	1	1	BARN	1977	1970-1979
Spey	177	Spey	United Kingdom of Great Britain and Northern Ireland	GB	1		BARN	1995	1990-1999
Spire	178	Spire	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1999	1990-1999
Starlight	179	Starlight	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1997	1990-1999
Static	180	Static	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1996	1990-1999
Steffi	181	Steffi	Germany	DE	1	1	BARN	1989	1980-1989
Steina	182	Steina	Germany	DE	1	1	BARN	1980	1980-1989
Stendes	183	Stendes	Latvia	LV	1	1	BARN	1972	1970-1979
Sultan	184	Sultan	Netherlands	NL	1	1	BARN	1966	1960-1969
Summit	185	Summit	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2008	2000-2009
SW Scania	186	SW Scania	Sweden	SE	1	1	BARN	2002	2000-2009
SY Taberna	187	SY Taberna	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2008	2000-2009
SY Universal	188	SY Universal	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2009	2000-2009
Tankard	189	Tankard	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1993	1990-1999
Taphouse	190	Taphouse	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2004	2000-2009
Tartan	191	Tartan	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2004	2000-2009
Tavern	192	Tavern	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1997	1990-1999
Tennis	193	Tennis	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1984	1980-1989
Tocada	194	Tocada	Germany	DE	1	1	BARN	2002	2000-2009
Tremois	195	Tremois	France	FR	1	1	BARN	1989	1980-1989
Trinity	196	Trinity	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1993	1990-1999
Triumph	197	Triumph	Germany	DE	1	1	BARN	1973	1970-1979
Troubadour	198	Troubadour	France	FR	1	1	BARN	1982	1980-1989
Tweed	199	Tweed	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1980	1980-1989
Tyne	200	Tyne	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	1985	1980-1989
Union	201	Union	Germany	DE	1	1	BARN	1955	1830-1959
Vada	202	Vada	Netherlands	NL	1	1	BARN	1958	1830-1959
Valticky	203	Valticky	Czech Republic	CZ	1	1	BARN	1950	1830-1959
Vankkuri	204	Vankkuri	Finland	FI	1	1	BARN	1943	1830-1959
Velvet	205	Velvet			1	1	BARN	2001	2000-2009
Villa	206	Villa	Germany	DE	1	1	BARN	1968	1960-1969
Volla	207	Volla	Germany	DE	1	1	BARN	1957	1830-1959
Waggon	208	Waggon	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2002	2000-2009
Westminster	209	Westminster	United Kingdom of Great Britain and Northern Ireland	GB	1	1	BARN	2002	2000-2009
Wing	210	Wing	Sweden	SE	1	1	BARN	1968	1960-1969
Wisa	211	Wisa	Germany	DE	1	1	BARN	1951	1830-1959
Zephyr 2RSB	212	Zephyr 2RSB	Netherlands	NL	1	1	BARN	1965	1960-1969
92.25	213	92.25	United Kingdom of Great Britain and Northern Ireland	GB					Unknown
14029	214	14029	Germany	DE					Unknown
88513	215	88513	Sweden	SE					Unknown
413287	216	413287							Unknown
(343/6 x 34/6) x J-427	217	(343/6 x 34/6) x J-427							Unknown
LBW6153 P40	218	LBW6153 P40							Unknown
ML-I x LP2.51784	219	ML-I x LP2.51784							Unknown
11719/59	220	11719/59							Unknown
1208/67	221	1208/67							Unknown
1293/70	222	1293/70							Unknown
22114/84M	223	22114/84M							Unknown
26744/84	224	26744/84							Unknown
22746Co41	225	22746Co41	United Kingdom of Great Britain and Northern Ireland	GB					Unknown
TSS 311-54	226	TSS 311-54	United Kingdom of Great Britain and Northern Ireland	GB					Unknown
36462 x 14008/64	227	36462 x 14008/64							Unknown
49113-502-11	228	49113-502-11							Unknown
49428/69	229	49428/69							Unknown
678 x Ub.Baco	230	678 x Ub.Baco							Unknown
84160.1.3.3	231	84160.1.3.3	Germany	DE					Unknown
Abed 079	232	Abed 079	Denmark	DK					Unknown
Abed 3371	233	Abed 3371	Denmark	DK					Unknown
Abed Denso	234	Abed Denso	Denmark	DK					Unknown
Acclaim	235	Acclaim	Germany	DE				1984	1980-1989
African landvariety	236	African landvariety							Unknown
Agio	237	Agio	Netherlands	NL				1950	1830-1959
Akka	238	Akka	Sweden	SE				1970	1970-1979
Alis	239	Alis	Denmark	DK				1985	1980-1989
All 3109	240	All 3109							Unknown
Alsa	241	Alsa	Germany	DE				1963	1960-1969
Amazone	242	Amazone	Germany	DE				1986	1980-1989
Amber	243	Amber	United Kingdom of Great Britain and Northern Ireland	GB				1992	1990-1999
Amsel	244	Amsel	Germany	DE				1960	1960-1969
Arabische	245	Arabische							Unknown
Ares	246	Ares	France	FR				1959	1830-1959
Ariel	247	Ariel	Sweden	SE				1987	1980-1989
Arivat	248	Arivat	United States of America	US				1940	1830-1959
Arla	249	Arla	Sweden	SE				1962	1960-1969
Asplund	250	Asplund	Sweden	SE				1910	1830-1959
